id,onoma_dimou_koinotitas,kodikos_koinotitas,eidos_koinotitas,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia,code
16,ΚΑΛΟΥ ΑΓΡΟΥ,90020105,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100203
17,ΚΟΥΔΟΥΝΙΩΝ,90020106,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100204
18,ΛΙΒΑΔΕΡΟΥ,90020107,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100205
19,ΜΑΚΡΥΠΛΑΓΙΟΥ,90020108,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100206
20,ΜΑΥΡΟΒΑΤΟΥ,90020109,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100207
21,ΜΙΚΡΟΧΩΡΙΟΥ,90020110,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100208
22,ΜΟΝΑΣΤΗΡΑΚΙΟΥ,90020111,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100209
23,ΜΥΛΟΠΟΤΑΜΟΥ,90020112,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100210
24,ΝΙΚΟΤΣΑΡΑΣ,90020113,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100211
25,ΣΙΔΗΡΟΝΕΡΟΥ,90020201,ΤΟΠ. ΚΟΙΝΟΤ,900202,ΣΙΔΗΡΟΝΕΡΟΥ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100801
26,ΣΚΑΛΩΤΗΣ,90020202,ΤΟΠ. ΚΟΙΝΟΤ,900202,ΣΙΔΗΡΟΝΕΡΟΥ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100802
