id,onoma_dimou_koinotitas,kodikos_koinotitas,eidos_koinotitas,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia,code
1028,ΚΝΙΔΗΣ,90610303,ΤΟΠ. ΚΟΙΝΟΤ,906103,ΒΕΝΤΖΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90203
1029,ΠΑΛΑΙΟΧΩΡΙΟΥ,90610304,ΤΟΠ. ΚΟΙΝΟΤ,906103,ΒΕΝΤΖΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90204
1030,ΠΟΝΤΙΝΗΣ,90610305,ΤΟΠ. ΚΟΙΝΟΤ,906103,ΒΕΝΤΖΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90205
1031,ΠΥΛΩΡΩΝ,90610306,ΤΟΠ. ΚΟΙΝΟΤ,906103,ΒΕΝΤΖΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90206
1032,ΣΑΡΑΚΗΝΑΣ,90610307,ΤΟΠ. ΚΟΙΝΟΤ,906103,ΒΕΝΤΖΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90207
1033,ΚΑΛΛΙΘΕΑΣ,90610401,ΤΟΠ. ΚΟΙΝΟΤ,906104,ΓΟΡΓΙΑΝΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90301
1034,ΚΗΠΟΥΡΕΙΟΥ,90610402,ΤΟΠ. ΚΟΙΝΟΤ,906104,ΓΟΡΓΙΑΝΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90302
1035,ΚΡΑΝΕΑΣ,90610403,ΤΟΠ. ΚΟΙΝΟΤ,906104,ΓΟΡΓΙΑΝΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90303
1036,ΜΙΚΡΟΛΙΒΑΔΟΥ,90610404,ΤΟΠ. ΚΟΙΝΟΤ,906104,ΓΟΡΓΙΑΝΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90304
1037,ΠΗΓΑΔΙΤΣΗΣ,90610405,ΤΟΠ. ΚΟΙΝΟΤ,906104,ΓΟΡΓΙΑΝΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90305
1038,ΣΙΤΑΡΑ,90610406,ΤΟΠ. ΚΟΙΝΟΤ,906104,ΓΟΡΓΙΑΝΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90306
1039,ΓΡΕΒΕΝΩΝ,90610501,ΔΗΜ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90404
1040,ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,90610502,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90401
1041,ΑΜΥΓΔΑΛΕΩΝ,90610503,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90402
1042,ΒΑΤΟΛΑΚΚΟΥ,90610504,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90403
1043,ΕΛΑΤΟΥ,90610505,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90405
1044,ΕΛΕΥΘΕΡΟΥ,90610506,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90406
1045,ΚΑΛΟΧΙΟΥ,90610507,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90407
1046,ΚΥΡΑΚΑΛΗΣ,90610508,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90408
1047,ΜΕΓΑΛΟΥ ΣΕΙΡΗΝΙΟΥ,90610509,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90409
1048,ΜΥΡΣΙΝΗΣ,90610510,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90410
1049,ΡΟΔΙΑΣ,90610511,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90411
1050,ΣΥΝΔΕΝΔΡΟΥ,90610512,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90412
1051,ΦΕΛΛΙΟΥ,90610513,ΤΟΠ. ΚΟΙΝΟΤ,906105,ΓΡΕΒΕΝΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90413
1052,ΔΟΤΣΙΚΟΥ,90610601,ΤΟΠ. ΚΟΙΝΟΤ,906106,ΔΟΤΣΙΚΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90601
1053,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,90610701,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90701
1054,ΑΗΔΟΝΙΩΝ,90610702,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90702
1055,ΚΙΒΩΤΟΥ,90610703,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90703
1056,ΚΛΗΜΑΤΑΚΙΟΥ,90610704,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90704
1057,ΚΟΚΚΙΝΙΑΣ,90610705,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90705
1058,ΜΗΛΕΑΣ,90610706,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90706
1059,ΠΟΛΥΔΕΝΔΡΟΥ,90610707,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90707
1060,ΤΑΞΙΑΡΧΟΥ,90610708,ΤΟΠ. ΚΟΙΝΟΤ,906107,ΗΡΑΚΛΕΩΤΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90708
1061,ΑΛΑΤΟΠΕΤΡΑΣ,90610801,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90801
1062,ΑΝΑΒΡΥΤΩΝ,90610802,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90802
1063,ΖΑΚΑ,90610803,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90803
1064,ΚΟΣΜΑΤΙΟΥ,90610804,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90804
1065,ΛΑΒΔΑ,90610805,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90805
1066,ΜΑΥΡΑΝΑΙΩΝ,90610806,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90806
1067,ΜΟΝΑΧΙΤΙΟΥ,90610807,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90807
1068,ΠΑΝΟΡΑΜΑΤΟΣ,90610808,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90808
1069,ΠΟΛΥΝΕΡΙΟΥ,90610809,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90809
1070,ΠΡΟΣΒΟΡΡΟΥ,90610810,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90810
1071,ΣΠΗΛΑΙΟΥ,90610811,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90811
1072,ΤΡΙΚΩΜΟΥ,90610812,ΤΟΠ. ΚΟΙΝΟΤ,906108,ΘΕΟΔΩΡΟΥ ΖΙΑΚΑ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90812
1073,ΜΕΣΟΛΟΥΡΙΟΥ,90610901,ΤΟΠ. ΚΟΙΝΟΤ,906109,ΜΕΣΟΛΟΥΡΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91001
1074,ΠΕΡΙΒΟΛΙΟΥ,90611001,ΤΟΠ. ΚΟΙΝΟΤ,906110,ΠΕΡΙΒΟΛΙΟΥ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91101
1075,ΣΑΜΑΡΙΝΑ,90611101,ΤΟΠ. ΚΟΙΝΟΤ,906111,ΣΑΜΑΡΙΝΑΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91201
1076,ΣΜΙΞΗΣ,90611201,ΤΟΠ. ΚΟΙΝΟΤ,906112,ΣΜΙΞΗΣ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91301
1077,ΦΙΛΙΠΠΑΙΩΝ,90611301,ΤΟΠ. ΚΟΙΝΟΤ,906113,ΦΙΛΙΠΠΑΙΩΝ,9061,ΔΗΜΟΣ,ΓΡΕΒΕΝΩΝ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91401
1078,ΔΕΣΚΑΤΗΣ,90620101,ΔΗΜ. ΚΟΙΝΟΤ,906201,ΔΕΣΚΑΤΗΣ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90502
1079,ΔΑΣΟΧΩΡΙΟΥ,90620102,ΤΟΠ. ΚΟΙΝΟΤ,906201,ΔΕΣΚΑΤΗΣ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90501
1080,ΠΑΛΙΟΥΡΙΑΣ,90620103,ΤΟΠ. ΚΟΙΝΟΤ,906201,ΔΕΣΚΑΤΗΣ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90503
1081,ΠΑΝΑΓΙΑΣ,90620104,ΤΟΠ. ΚΟΙΝΟΤ,906201,ΔΕΣΚΑΤΗΣ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90504
1082,ΠΑΡΑΣΚΕΥΗΣ,90620105,ΤΟΠ. ΚΟΙΝΟΤ,906201,ΔΕΣΚΑΤΗΣ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90505
1083,ΚΑΡΠΕΡΟΥ,90620201,ΤΟΠ. ΚΟΙΝΟΤ,906202,ΧΑΣΙΩΝ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91501
1084,ΚΑΤΑΚΑΛΗΣ,90620202,ΤΟΠ. ΚΟΙΝΟΤ,906202,ΧΑΣΙΩΝ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91502
1085,ΤΡΙΚΟΚΚΙΑΣ,90620203,ΤΟΠ. ΚΟΙΝΟΤ,906202,ΧΑΣΙΩΝ,9062,ΔΗΜΟΣ,ΔΕΣΚΑΤΗΣ,301,ΓΡΕΒΕΝΩΝ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,91503
1086,ΜΑΝΙΑΚΩΝ,90630101,ΔΗΜ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250104
1087,ΑΥΓΗΣ,90630102,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250101
1088,ΚΟΡΟΜΗΛΕΑΣ,90630103,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250102
1089,ΛΕΥΚΗΣ,90630104,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250103
1090,ΟΜΟΡΦΟΚΚΛΗΣΙΑΣ,90630105,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250105
1091,ΠΕΝΤΑΒΡΥΣΟΥ,90630106,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250106
1092,ΤΣΑΚΟΝΗΣ,90630107,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250107
1093,ΧΙΛΙΟΔΕΝΔΡΟΥ,90630108,ΤΟΠ. ΚΟΙΝΟΤ,906301,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250108
1094,ΒΑΣΙΛΕΙΑΔΟΣ,90630201,ΤΟΠ. ΚΟΙΝΟΤ,906302,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250201
1095,ΚΟΡΗΣΟΥ,90630202,ΤΟΠ. ΚΟΙΝΟΤ,906302,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250202
1096,ΛΙΘΙΑΣ,90630203,ΤΟΠ. ΚΟΙΝΟΤ,906302,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250203
1097,ΜΕΛΙΣΣΟΤΟΠΟΥ,90630204,ΤΟΠ. ΚΟΙΝΟΤ,906302,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250204
1098,ΒΥΣΣΙΝΕΑΣ,90630301,ΤΟΠ. ΚΟΙΝΟΤ,906303,ΒΙΤΣΙΟΥ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250601
1099,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,90630302,ΤΟΠ. ΚΟΙΝΟΤ,906303,ΒΙΤΣΙΟΥ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250602
1100,ΟΞΥΑΣ,90630303,ΤΟΠ. ΚΟΙΝΟΤ,906303,ΒΙΤΣΙΟΥ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250603
1101,ΠΟΛΥΚΕΡΑΣΟΥ,90630304,ΤΟΠ. ΚΟΙΝΟΤ,906303,ΒΙΤΣΙΟΥ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250604
1102,ΣΙΔΗΡΟΧΩΡΙΟΥ,90630305,ΤΟΠ. ΚΟΙΝΟΤ,906303,ΒΙΤΣΙΟΥ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250605
1103,ΤΟΙΧΙΟΥ,90630306,ΤΟΠ. ΚΟΙΝΟΤ,906303,ΒΙΤΣΙΟΥ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250606
1104,ΚΑΣΤΟΡΙΑΣ,90630401,ΔΗΜ. ΚΟΙΝΟΤ,906304,ΚΑΣΤΟΡΙΑΣ,9063,ΔΗΜΟΣ,ΚΑΣΤΟΡΙΑΣ,302,ΚΑΣΤΟΡΙΑΣ,3,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,250901
