id,expediture_types,expediture_types_minor
1,ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ,Δ.Κ.Α. αυτοστέγαση
2,"ΕΠΙΔΟΤΗΣΗ ΕΝΟΙΚΙΟΥ
",επιδότησης ενοικίου
3,ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ,Δ.Κ.Α. ανακατασκευής
4,ΔΚΑ ΕΠΙΣΚΕΥΗ,Δ.Κ.Α. επισκευής
5,ΕΚΤΟΣ ΕΔΡΑΣ,εκτός έδρας
