project_id,monada_id,event_types_id,expenditure_type_id,id
29,2,7,2,4
32,2,10,3,6
47,2,10,4,9
47,2,10,1,10
35,5,10,3,12
61,7,7,2,17
73,2,12,2,22
82,2,10,5,29
86,2,12,3,30
97,2,8,4,34
92,4,12,5,37
97,2,8,5,38
99,2,7,2,39
104,7,12,4,42
120,2,5,1,47
138,5,12,4,58
126,2,7,2,70
175,11,13,5,89
179,5,10,4,94
181,4,10,5,97
190,2,13,1,99
190,2,13,5,101
190,2,13,3,103
25,2,10,1,108
70,2,12,3,120
92,4,12,1,128
100,7,12,4,129
100,7,12,5,130
82,2,10,1,131
89,2,7,2,132
103,7,7,2,133
120,2,6,2,138
120,2,5,2,139
126,2,10,2,140
138,5,12,1,147
171,5,12,3,155
176,6,13,5,159
178,7,10,5,160
32,2,10,1,171
47,2,10,5,174
35,5,10,5,175
70,2,12,4,180
120,2,6,4,191
171,5,12,4,210
175,11,13,3,213
171,5,12,1,214
176,6,13,4,215
179,5,10,1,216
193,5,12,1,219
35,5,10,1,225
86,2,12,4,235
100,7,12,3,240
104,7,12,3,241
104,7,12,5,242
120,2,6,1,243
120,2,5,3,246
138,5,12,5,251
171,5,12,5,261
179,5,10,5,267
179,5,10,3,268
176,6,13,1,273
25,2,10,5,274
47,2,10,3,280
52,5,7,2,285
89,2,12,2,289
92,4,12,3,291
120,2,6,3,300
120,2,5,4,302
176,6,13,3,322
190,2,13,4,325
181,4,10,4,327
35,5,10,4,331
29,2,12,2,334
66,2,10,2,339
70,2,12,5,340
86,2,12,1,344
88,5,7,2,345
82,2,10,3,347
97,2,8,1,348
104,7,12,1,349
123,4,7,2,356
178,7,10,1,377
178,7,10,4,378
181,4,10,3,379
193,5,12,3,380
191,2,10,4,381
61,7,12,2,393
73,2,7,2,394
82,2,10,4,397
178,7,10,3,426
191,2,10,3,430
32,2,10,4,438
66,2,7,2,446
13,11,10,1,452
11,11,10,1,454
88,5,12,2,462
97,2,8,3,465
92,4,12,4,466
100,7,12,1,467
86,2,12,5,468
175,11,13,1,490
181,4,10,1,491
193,5,12,4,496
191,2,10,5,497
193,5,12,5,498
25,2,10,3,499
25,2,10,4,500
52,5,12,2,504
70,2,12,1,509
99,2,12,2,515
103,7,10,2,517
123,4,12,2,521
138,5,12,3,524
175,11,13,4,539
191,2,10,1,546
1,2,10,4,959
1,2,10,3,960
1,2,10,1,961
1,2,10,5,962
1,1,10,5,963
90,11,7,2,982
24,2,10,1,984
24,2,10,4,985
24,2,10,5,986
24,2,10,3,987
87,4,10,5,1036
87,4,10,4,1037
87,4,10,1,1038
87,4,10,3,1039
2,5,10,1,1060
2,5,10,3,1061
2,5,10,2,1062
2,5,10,5,1063
2,5,10,4,1064
5,5,10,3,1065
5,5,10,1,1066
5,5,10,4,1067
5,5,10,5,1068
180,4,3,5,1073
180,4,3,3,1074
180,4,3,4,1075
180,4,3,1,1076
177,4,10,3,1077
177,4,10,1,1078
177,4,10,5,1079
177,4,10,4,1080
74,11,13,3,1097
74,11,13,5,1098
74,11,13,4,1099
74,11,13,1,1100
6,4,13,3,1101
6,4,13,1,1102
6,4,13,4,1103
6,4,13,5,1104
23,4,10,4,1125
23,4,10,1,1126
23,4,10,3,1127
23,4,10,5,1128
183,2,10,1,1141
183,2,10,4,1142
183,2,10,3,1143
183,2,10,5,1144
185,4,10,5,1153
185,4,10,4,1154
185,4,10,3,1155
185,4,10,1,1156
3,11,10,1,1165
3,11,10,3,1166
3,11,10,4,1167
3,11,10,5,1168
4,2,13,4,1177
4,2,13,1,1178
4,2,13,5,1179
