project_index_id,muni_code
4,9001
6,9001
6,9195
6,9199
6,9200
6,9201
9,9001
10,9001
12,9001
17,9001
22,9001
29,9001
30,9001
34,9001
37,9001
38,9001
39,9001
42,9001
47,9001
58,9001
70,9001
89,9001
94,9001
97,9001
99,9001
101,9001
103,9001
108,9001
108,9110
120,9001
128,9001
129,9001
130,9001
131,9001
132,9001
133,9001
138,9001
139,9001
140,9001
147,9001
155,9001
159,9001
160,9001
171,9001
171,9195
171,9199
171,9200
171,9201
174,9001
175,9001
180,9001
191,9001
210,9001
213,9001
214,9001
215,9001
216,9001
219,9001
225,9001
235,9001
240,9001
241,9001
242,9001
243,9001
246,9001
251,9001
261,9001
267,9001
268,9001
273,9001
274,9001
274,9110
280,9001
285,9001
289,9001
291,9001
300,9001
302,9001
322,9001
325,9001
327,9001
331,9001
334,9001
339,9001
340,9001
344,9001
345,9001
347,9001
348,9001
349,9001
356,9001
377,9001
378,9001
379,9001
380,9001
381,9001
393,9001
394,9001
397,9001
426,9001
430,9001
438,9001
438,9195
438,9199
438,9200
438,9201
446,9001
452,9001
454,9001
462,9001
465,9001
466,9001
467,9001
468,9001
490,9001
491,9001
496,9001
497,9001
498,9001
499,9001
499,9110
500,9001
500,9110
504,9001
509,9001
515,9001
517,9001
521,9001
524,9001
539,9001
546,9001
959,9114
960,9114
961,9114
962,9114
963,9001
963,9114
982,9302
982,9310
984,9276
985,9276
986,9276
987,9276
1036,9026
1036,9027
1036,9033
1036,9034
1036,9036
1036,9038
1037,9026
1037,9027
1037,9033
1037,9034
1037,9036
1037,9038
1038,9026
1038,9027
1038,9033
1038,9034
1038,9036
1038,9038
1039,9026
1039,9027
1039,9033
1039,9034
1039,9036
1039,9038
1060,9123
1061,9123
1062,9123
1063,9123
1064,9123
1065,9129
1066,9129
1067,9129
1068,9129
1073,9075
1074,9075
1075,9075
1076,9075
1077,9047
1078,9047
1079,9047
1080,9047
1097,9310
1098,9310
1099,9310
1100,9310
1101,9063
1101,9070
1102,9063
1102,9070
1103,9063
1103,9070
1104,9063
1104,9070
1125,9011
1126,9011
1127,9011
1128,9011
1141,9268
1141,9281
1141,9296
1142,9268
1142,9281
1142,9296
1143,9268
1143,9281
1143,9296
1144,9268
1144,9281
1144,9296
1153,9054
1154,9054
1155,9054
1156,9054
1165,9302
1165,9325
1166,9302
1166,9325
1167,9302
1167,9325
1168,9302
1168,9325
1177,9165
1178,9165
1179,9165
1180,9165
1197,9243
1198,9243
1199,9243
1200,9243
1201,9228
1202,9228
1203,9228
1204,9228
1205,9323
1206,9323
1207,9323
1208,9323
1213,9127
1214,9127
1215,9127
1216,9127
1241,9130
1242,9130
1243,9130
1244,9130
1245,9215
1246,9215
1247,9215
1248,9215
1249,9167
1250,9167
1251,9167
1252,9167
1277,9158
1277,9165
1278,9158
1278,9165
1279,9158
1279,9165
1280,9158
1280,9165
1285,9148
1286,9148
1287,9148
1288,9148
1309,9130
1309,9135
1309,9237
1309,9248
1309,9253
1310,9130
1310,9135
1310,9237
1310,9248
1310,9253
1311,9130
1311,9135
1311,9237
1311,9248
1311,9253
1312,9130
1312,9135
1312,9237
1312,9248
1312,9253
1330,9167
1339,9302
1339,9310
1340,9302
1340,9310
1341,9302
1341,9310
1342,9302
1342,9310
1351,9254
1352,9254
1353,9254
1354,9254
1379,9148
1379,9215
1380,9148
1380,9215
1381,9148
1381,9215
1382,9148
1382,9215
1387,9228
1388,9228
1389,9228
1390,9228
1391,9019
1391,9021
1391,9022
1392,9019
1392,9021
1392,9022
1393,9019
1393,9021
1393,9022
1394,9019
1394,9021
1394,9022
1411,9129
1412,9129
1413,9129
1414,9129
1419,9151
1420,9151
1421,9151
1422,9151
1423,9117
1423,9118
1424,9117
1424,9118
1425,9117
1425,9118
1426,9117
1426,9118
1439,9160
1439,9162
1440,9160
1440,9162
1441,9160
1441,9162
1442,9160
1442,9162
1451,9309
1452,9309
1453,9309
1454,9309
1459,9220
1460,9220
1461,9220
1462,9220
1463,9093
1464,9093
1465,9093
1466,9093
1471,9152
1472,9152
1473,9152
1474,9152
1491,9261
1492,9261
1493,9261
1494,9261
1499,9136
1500,9136
1501,9136
1502,9136
1503,9216
1504,9216
1505,9216
1506,9216
1507,9150
1507,9151
1507,9153
1508,9150
1508,9151
1508,9153
1509,9150
1509,9151
1509,9153
1510,9150
1510,9151
1510,9153
1539,9135
1539,9136
1539,9139
1539,9140
1539,9141
1540,9135
1540,9136
1540,9139
1540,9140
1540,9141
1541,9135
1541,9136
1541,9139
1541,9140
1541,9141
1542,9135
1542,9136
1542,9139
1542,9140
1542,9141
1559,9232
1560,9232
1561,9232
1562,9232
1567,9231
1568,9231
1569,9231
1570,9231
1571,9176
1571,9223
1571,9224
1572,9176
1572,9223
1572,9224
1573,9176
1573,9223
1573,9224
1574,9176
1574,9223
1574,9224
1586,9001
1586,9167
1586,9215
1597,9001
1597,9002
1598,9001
1598,9002
1599,9001
1599,9002
1600,9001
1600,9002
1621,9097
1621,9099
1621,9100
1621,9103
1622,9097
1622,9099
1622,9100
1622,9103
1623,9097
1623,9099
1623,9100
1623,9103
1624,9097
1624,9099
1624,9100
1624,9103
1637,9131
1637,9134
1638,9131
1638,9134
1639,9131
1639,9134
1640,9131
1640,9134
1653,9310
1654,9310
1655,9310
1656,9310
1657,9325
1658,9325
1659,9325
1660,9325
1717,9123
1717,9124
1717,9125
1717,9126
1717,9127
1717,9128
1717,9129
1718,9123
1718,9124
1718,9125
1718,9126
1718,9127
1718,9128
1718,9129
1719,9123
1719,9124
1719,9125
1719,9126
1719,9127
1719,9128
1719,9129
1720,9123
1720,9124
1720,9125
1720,9126
1720,9127
1720,9128
1720,9129
1749,9093
1750,9093
1751,9093
1752,9093
1757,9105
1758,9105
1759,9105
1760,9105
1768,9001
1772,9070
1773,9070
1774,9070
1775,9085
1785,9116
1785,9135
1785,9253
1786,9116
1786,9135
1786,9253
1787,9116
1787,9135
1787,9253
1794,9097
1795,9097
1796,9097
1805,9261
1806,9261
1807,9261
1808,9261
1809,9080
1810,9080
1811,9080
1812,9080
1845,9123
1845,9130
1845,9135
1845,9237
1845,9242
1845,9248
1845,9253
1846,9123
1846,9130
1846,9135
1846,9237
1846,9242
1846,9248
1846,9253
1847,9123
1847,9130
1847,9135
1847,9237
1847,9242
1847,9248
1847,9253
1848,9123
1848,9130
1848,9135
1848,9237
1848,9242
1848,9248
1848,9253
1877,9061
1877,9066
1878,9061
1878,9066
1879,9061
1879,9066
1880,9061
1880,9066
