id,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia
21,901002,ΣΟΥΦΛΙΟΥ,9010,ΔΗΜΟΣ,ΣΟΥΦΛΙΟΥ,102,ΕΒΡΟΥ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
22,901003,ΤΥΧΕΡΟΥ,9010,ΔΗΜΟΣ,ΣΟΥΦΛΙΟΥ,102,ΕΒΡΟΥ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
23,901101,ΘΑΣΟΥ,9011,ΔΗΜΟΣ,ΘΑΣΟΥ,103,ΘΑΣΟΥ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
24,901201,ΚΑΒΑΛΑΣ,9012,ΔΗΜΟΣ,ΚΑΒΑΛΑΣ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
25,901202,ΦΙΛΙΠΠΩΝ,9012,ΔΗΜΟΣ,ΚΑΒΑΛΑΣ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
26,901301,ΚΕΡΑΜΩΤΗΣ,9013,ΔΗΜΟΣ,ΝΕΣΤΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
27,901302,ΟΡΕΙΝΟΥ,9013,ΔΗΜΟΣ,ΝΕΣΤΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
28,901303,ΧΡΥΣΟΥΠΟΛΗΣ,9013,ΔΗΜΟΣ,ΝΕΣΤΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
29,901401,ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ,9014,ΔΗΜΟΣ,ΠΑΓΓΑΙΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
30,901402,ΕΛΕΥΘΕΡΩΝ,9014,ΔΗΜΟΣ,ΠΑΓΓΑΙΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
31,901403,ΟΡΦΑΝΟΥ,9014,ΔΗΜΟΣ,ΠΑΓΓΑΙΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
32,901404,ΠΑΓΓΑΙΟΥ,9014,ΔΗΜΟΣ,ΠΑΓΓΑΙΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
33,901405,ΠΙΕΡΕΩΝ,9014,ΔΗΜΟΣ,ΠΑΓΓΑΙΟΥ,104,ΚΑΒΑΛΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
34,901501,ΑΒΔΗΡΩΝ,9015,ΔΗΜΟΣ,ΑΒΔΗΡΩΝ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
35,901502,ΒΙΣΤΩΝΙΔΟΣ,9015,ΔΗΜΟΣ,ΑΒΔΗΡΩΝ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
36,901503,ΣΕΛΕΡΟΥ,9015,ΔΗΜΟΣ,ΑΒΔΗΡΩΝ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
37,901601,ΘΕΡΜΩΝ,9016,ΔΗΜΟΣ,ΜΥΚΗΣ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
38,901602,ΚΟΤΥΛΗΣ,9016,ΔΗΜΟΣ,ΜΥΚΗΣ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
39,901603,ΜΥΚΗΣ,9016,ΔΗΜΟΣ,ΜΥΚΗΣ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
40,901604,ΣΑΤΡΩΝ,9016,ΔΗΜΟΣ,ΜΥΚΗΣ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
41,901701,ΞΑΝΘΗΣ,9017,ΔΗΜΟΣ,ΞΑΝΘΗΣ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
42,901702,ΣΤΑΥΡΟΥΠΟΛΗΣ,9017,ΔΗΜΟΣ,ΞΑΝΘΗΣ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
43,901801,ΤΟΠΕΙΡΟΥ,9018,ΔΗΜΟΣ,ΤΟΠΕΙΡΟΥ,105,ΞΑΝΘΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
44,901901,ΑΡΡΙΑΝΩΝ,9019,ΔΗΜΟΣ,ΑΡΡΙΑΝΩΝ,106,ΡΟΔΟΠΗΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
